Latitude,Longitude,Average_dist_F,Average_popularity_F,Average_rating_F,Max_rating_F,Max_popularity_F,Min_rating_F,Min_popularity_F
53.35023,-6.279696,618.5,0.9692015426367661,9.09,9.3,0.9959148693043851,8.9,0.923782316811884
53.357841,-6.251557,824.0,0.9641965433509497,8.9,9.4,0.9970289958577346,8.7,0.8979860019997143
53.356307,-6.273717,999.3,0.9702328238823025,8.98,9.4,0.9988858734466505,8.7,0.923782316811884
53.349562,-6.278198,584.4,0.972195400657049,9.129999999999999,9.3,0.9992572489644337,9.0,0.923782316811884
53.336021,-6.26298,709.7,0.9911555492072562,9.219999999999997,9.5,0.9998285959148693,9.1,0.958348807313241
53.359405,-6.276142,726.6,0.9661334095129268,8.54,9.0,0.9966576203399514,8.0,0.9318668761605485
53.33796,-6.24153,600.2,0.966601914012284,8.969999999999999,9.2,0.999485787744608,8.8,0.9146407656049136
53.343368,-6.27012,607.5,0.992226824739323,9.239999999999998,9.5,0.9998285959148693,9.1,0.9630052849592915
53.334123,-6.265436,697.1,0.9778774460791315,9.13,9.5,0.9998285959148693,9.0,0.8949007284673618
53.344304,-6.250427,711.1,0.9884330809884302,9.2,9.5,0.9998285959148693,9.1,0.9530352806741894
53.338755,-6.262003,599.3,0.9889444365090702,9.239999999999998,9.5,0.9998285959148693,9.1,0.958348807313241
53.347777,-6.244239,683.7,0.9859648621625482,8.98,9.2,0.999485787744608,8.8,0.9530352806741894
53.336074,-6.252825,765.7,0.9915726324810741,9.15,9.5,0.9998285959148693,9.0,0.9723753749464362
53.330091,-6.268044,693.5,0.9572603913726612,9.040000000000001,9.2,0.9867447507498929,8.9,0.8949007284673618
53.350929,-6.265125,677.9,0.9778660191401229,9.159999999999998,9.4,0.9984573632338237,9.1,0.923782316811884
53.341515,-6.256853,519.9,0.9914726467647478,9.219999999999999,9.5,0.9998285959148693,9.1,0.9630052849592915
53.348279,-6.254662,736.9,0.9885159262962432,9.2,9.4,0.999485787744608,9.1,0.9630052849592915
53.35893,-6.280337,698.5,0.9638394515069276,8.27,8.7,0.9966576203399514,8.0,0.9318668761605485
53.344115,-6.237153,704.6,0.9739065847736039,8.969999999999999,9.2,0.999485787744608,8.8,0.9146407656049136
53.343893,-6.280531,645.6,0.9798628767318955,9.139999999999999,9.3,0.9998857306099128,9.0,0.923782316811884
53.347477,-6.28525,593.7,0.9716183402371088,9.010000000000002,9.3,0.9998857306099128,8.8,0.923782316811884
53.339005,-6.300217,871.4,0.9725124982145408,8.620000000000001,9.4,0.9998857306099128,8.2,0.876474789315812
53.344153,-6.233451,614.3,0.9493386659048706,8.809999999999999,9.1,0.9928010284245108,8.5,0.9146407656049136
53.334295,-6.258503,755.3,0.9817511784030852,9.17,9.5,0.9998285959148693,9.0,0.926810455649193
53.340803,-6.267732,606.2,0.9885273532352521,9.229999999999999,9.5,0.9998285959148693,9.1,0.958348807313241
53.351464,-6.255265,676.2,0.9765947721754035,9.060000000000002,9.4,0.9984573632338237,8.9,0.936266247678903
53.333653,-6.248345,831.8,0.9645222111126982,9.06,9.5,0.9998285959148693,8.9,0.9182116840451364
53.343105,-6.277167,725.2,0.9794715040708469,9.159999999999998,9.3,0.9992572489644337,9.1,0.923782316811884
53.341428,-6.24672,723.7,0.9872903870875588,9.14,9.5,0.9998285959148693,9.0,0.9461505499214398
53.338614,-6.248606,749.4,0.9863676617626052,9.17,9.5,0.9998285959148693,9.0,0.9461505499214398
53.341833,-6.231291,629.1,0.9544007998857307,8.879999999999999,9.1,0.9977146121982574,8.6,0.9146407656049136
53.346637,-6.246154,650.7,0.9877503213826595,9.070000000000002,9.4,0.999485787744608,8.9,0.9530352806741894
53.343034,-6.263578,440.9,0.991681188401657,9.239999999999998,9.5,0.9998285959148693,9.1,0.9630052849592915
53.346867,-6.230852,617.6,0.9533066704756463,8.55,9.1,0.9971432652478217,8.2,0.8710469932866733
53.3547,-6.272314,766.8,0.9660134266533351,9.080000000000002,9.4,0.9925439222968148,8.9,0.923782316811884
53.33403,-6.260714,750.9,0.9817511784030852,9.17,9.5,0.9998285959148693,9.0,0.926810455649193
53.346026,-6.243576,623.3,0.9858277388944436,8.98,9.2,0.999485787744608,8.8,0.9530352806741894
53.330662,-6.260177,683.1,0.9599228681616913,9.080000000000002,9.5,0.9998285959148693,8.9,0.8949007284673618
53.342113,-6.310015,497.0,0.9581316954720756,8.120000000000001,8.9,0.9933438080274246,7.5,0.876474789315812
53.357043,-6.263232,656.9,0.9703385230681331,8.870000000000001,9.4,0.9970289958577346,8.6,0.9352092558205971
53.348875,-6.267459,678.9,0.988030281388373,9.23,9.4,0.9992572489644337,9.1,0.9630052849592915
53.346874,-6.272976,602.9,0.982436794743608,9.169999999999998,9.3,0.9992572489644337,9.1,0.923782316811884
53.347932,-6.240928,631.3,0.9700642765319241,8.879999999999999,9.1,0.9971718325953435,8.6,0.9176689044422225
53.334432,-6.245575,763.9,0.9652763890872732,8.989999999999998,9.5,0.9998285959148693,8.8,0.9146407656049136
53.343565,-6.275071,676.1,0.9824282245393515,9.169999999999998,9.3,0.9992572489644337,9.1,0.923782316811884
53.359624,-6.260348,657.8,0.9623796600485646,8.83,9.4,0.9970289958577346,8.6,0.8996143408084559
53.354929,-6.269425,720.3,0.9645307813169545,9.040000000000003,9.4,0.9892015426367662,8.9,0.923782316811884
53.350974,-6.25294,596.2,0.9740265676331952,9.05,9.4,0.9984573632338237,8.9,0.9336951864019426
53.337132,-6.26059,640.4,0.9879245822025424,9.229999999999999,9.5,0.9998285959148693,9.1,0.958348807313241
53.339218,-6.240642,564.4,0.966601914012284,8.969999999999999,9.2,0.999485787744608,8.8,0.9146407656049136
53.347122,-6.234749,620.2,0.9473132409655763,8.700000000000001,9.1,0.9971718325953435,8.4,0.8710469932866733
53.355173,-6.278424,846.0,0.9673846593343807,8.99,9.3,0.9988858734466505,8.7,0.923782316811884
53.350291,-6.273507,725.1,0.9780631338380232,9.19,9.4,0.9992572489644337,9.1,0.923782316811884
53.354845,-6.247579,750.1,0.9696357663190973,8.940000000000001,9.4,0.9971718325953435,8.7,0.8979860019997143
53.335742,-6.24551,746.3,0.9627138980145693,9.040000000000001,9.5,0.9998285959148693,8.8,0.9146407656049136
53.343653,-6.231755,700.2,0.9544007998857307,8.879999999999999,9.1,0.9977146121982574,8.6,0.9146407656049136
53.347884,-6.248048,770.4,0.9784945007856021,9.13,9.4,0.999485787744608,9.0,0.8920439937151835
53.341288,-6.258117,490.6,0.991681188401657,9.239999999999998,9.5,0.9998285959148693,9.1,0.9630052849592915
53.347508,-6.252192,749.9,0.9877560348521639,9.19,9.4,0.999485787744608,9.1,0.9630052849592915
53.341805,-6.305085,533.5,0.9514440794172259,8.47,9.1,0.9933438080274246,8.0,0.876474789315812
53.341645,-6.29719,765.0,0.9754863590915583,8.790000000000001,9.4,0.9998857306099128,8.4,0.8900442793886587
53.342296,-6.287661,841.4,0.9821882588201685,9.06,9.4,0.9998857306099128,8.8,0.9492358234537923
53.337757,-6.267699,674.8,0.9885273532352521,9.229999999999999,9.5,0.9998285959148693,9.1,0.958348807313241
53.358115,-6.265601,700.2,0.9703385230681331,8.870000000000001,9.4,0.9970289958577346,8.6,0.9352092558205971
53.342638,-6.238695,612.7,0.966090558491644,8.98,9.2,0.999485787744608,8.8,0.9146407656049136
53.339434,-6.246548,701.3,0.9786259105842022,9.129999999999999,9.5,0.9998285959148693,9.0,0.9146407656049136
53.339334,-6.264699,608.9,0.9889444365090702,9.239999999999998,9.5,0.9998285959148693,9.1,0.958348807313241
53.337494,-6.26199,652.5,0.9889444365090702,9.239999999999998,9.5,0.9998285959148693,9.1,0.958348807313241
53.35561,-6.261397,626.0,0.9668675903442365,8.92,9.4,0.9970289958577346,8.7,0.9336951864019426
53.343897,-6.29706,678.1,0.9725296386230537,8.73,9.1,0.9998857306099128,8.4,0.8900442793886587
53.346985,-6.297804,763.3,0.9706813312383945,8.849999999999998,9.1,0.9998857306099128,8.6,0.8900442793886587
53.355954,-6.278378,1060.1,0.9764462219682903,8.850000000000001,9.1,0.9988858734466505,8.7,0.9561491215540637
53.337824,-6.256035,652.9,0.9885387801742608,9.209999999999997,9.5,0.9998285959148693,9.1,0.9630052849592915
53.346603,-6.296924,875.9,0.9650507070418511,8.879999999999999,9.1,0.9998857306099128,8.6,0.8900442793886587
53.345922,-6.254614,653.8,0.9909555777746035,9.239999999999998,9.5,0.9998285959148693,9.1,0.9630052849592915
53.359246,-6.269779,715.5,0.9669790029995715,8.85,9.4,0.982002571061277,8.6,0.936266247678903
53.330362,-6.265163,722.6,0.9590201399800028,9.1,9.5,0.9998285959148693,9.0,0.8949007284673618
53.359967,-6.264828,705.8,0.9629824310812742,8.860000000000001,9.4,0.9970289958577346,8.7,0.8996143408084559
53.356769,-6.26814,784.3,0.9693529495786317,8.89,9.4,0.9986001999714327,8.7,0.923782316811884
53.343456,-6.287409,633.0,0.9797086130552779,9.0,9.3,0.9998857306099128,8.8,0.9492358234537923
53.356717,-6.256359,633.5,0.9632338237394658,8.86,9.4,0.9970289958577346,8.6,0.8979860019997143
53.339764,-6.251988,697.9,0.9871846879017283,9.209999999999997,9.5,0.9998285959148693,9.1,0.9530352806741894
53.34744,-6.238523,674.0,0.9678931581202684,8.84,9.1,0.9971718325953435,8.6,0.9176689044422225
53.355473,-6.264423,706.4,0.9589801456934722,9.020000000000001,9.4,0.981745464933581,8.9,0.923782316811884
53.347972,-6.291804,738.5,0.9705784887873161,8.97,9.3,0.9998857306099128,8.7,0.8900442793886587
53.344007,-6.266802,531.7,0.992226824739323,9.239999999999998,9.5,0.9998285959148693,9.1,0.9630052849592915
53.347106,-6.292041,734.6,0.9705784887873161,8.97,9.3,0.9998857306099128,8.7,0.8900442793886587
53.352149,-6.260533,715.8,0.9731524067990287,9.139999999999999,9.4,0.9984573632338237,9.0,0.923782316811884
53.345203,-6.247163,715.9,0.99003285244965,9.11,9.4,0.999485787744608,9.0,0.9530352806741894
53.353331,-6.249319,611.6,0.9697386087701757,8.940000000000001,9.4,0.9971718325953435,8.7,0.8979860019997143
53.338776,-6.30395,567.6,0.9554149407227539,8.290000000000003,9.4,0.9933438080274246,7.7,0.876474789315812
53.359157,-6.281866,733.0,0.9638394515069276,8.27,8.7,0.9966576203399514,8.0,0.9318668761605485
53.349013,-6.260311,630.3,0.9809455792029711,9.19,9.4,0.9984573632338237,9.1,0.923782316811884
53.358437,-6.260641,716.3,0.9666561919725754,8.850000000000001,9.4,0.9970289958577346,8.7,0.8996143408084559
53.335211,-6.2509,841.7,0.9827653192401085,9.120000000000001,9.5,0.9998285959148693,8.9,0.8949007284673618
53.339629,-6.243778,640.3,0.9552663905156408,8.98,9.2,0.999485787744608,8.8,0.9083273818025996
53.341359,-6.292951,822.2,0.972258248821597,8.809999999999999,9.4,0.9998857306099128,8.5,0.9163548064562206
53.332763,-6.257942,796.5,0.9709727181831168,9.11,9.5,0.9998285959148693,9.0,0.8949007284673618
53.351182,-6.269859,715.1,0.9767090415654905,9.169999999999998,9.4,0.9959148693043851,9.1,0.923782316811884
53.3483,-6.266651,629.2,0.988030281388373,9.23,9.4,0.9992572489644337,9.1,0.9630052849592915
53.346057,-6.268001,534.5,0.988030281388373,9.23,9.4,0.9992572489644337,9.1,0.9630052849592915
53.354663,-6.278681,810.2,0.9673846593343807,8.99,9.3,0.9988858734466505,8.7,0.923782316811884
53.356299,-6.258586,654.0,0.9668675903442365,8.92,9.4,0.9970289958577346,8.7,0.9336951864019426
53.332383,-6.252717,728.5,0.9616226253392373,9.040000000000001,9.5,0.9998285959148693,8.9,0.8949007284673618
53.340714,-6.308191,422.1,0.9524582202542493,8.23,8.9,0.9933438080274246,7.7,0.876474789315812
53.347802,-6.292432,772.7,0.9705042136837594,8.98,9.3,0.9998857306099128,8.7,0.8900442793886587
53.34218,-6.254485,627.7,0.9882045422082559,9.219999999999999,9.5,0.9998285959148693,9.1,0.9530352806741894
53.3488,-6.281637,607.9,0.969598628767319,9.070000000000002,9.3,0.9998857306099128,8.9,0.923782316811884
53.340927,-6.262501,466.7,0.991681188401657,9.239999999999998,9.5,0.9998285959148693,9.1,0.9630052849592915
53.336597,-6.248109,782.5,0.9772003999428653,9.14,9.5,0.9998285959148693,9.0,0.9146407656049136
53.3537415547453,-6.26530144781526,646.9,0.96830167118983,9.09,9.4,0.9959148693043851,8.9,0.923782316811884
53.344603,-6.263371,433.1,0.9909327238965862,9.229999999999999,9.5,0.9998285959148693,9.1,0.9630052849592915
53.347692,-6.278214,567.5,0.9733752321096987,9.139999999999999,9.3,0.9992572489644337,9.0,0.923782316811884
53.342081,-6.275233,704.7,0.9784173689472933,9.169999999999998,9.3,0.9992572489644337,9.1,0.923782316811884
